ETA,PHI,PT
-1.6604, 1.3118, 100.947
-1.44792, 1.26122, 1.51434
-1.76316, 1.16212, 0.472631
-1.75598, 1.43489, 2.98659
-1.77731, 1.34304, 1.62042
-1.5653, 1.25465, 3.6501
-1.65055, 1.21317, 6.69218
-1.64402, 1.37214, 9.89551
-1.64967, 1.37579, 5.66909
-1.70448, 1.3553, 0.938267
-1.67206, 1.36305, 5.05821
-1.64209, 1.34944, 3.32479
-1.61835, 1.3008, 7.64118
-1.63884, 1.29043, 4.52052
-1.65377, 1.28523, 4.03053
-1.67397, 1.28213, 17.0662
-1.66525, 1.30619, 5.34377
-1.67283, 1.31079, 4.44688
-1.68081, 1.31435, 16.1952
@@@,@@@,@@@
2.40465, 2.38753, 103.832
2.01447, 2.41495, 1.32994
2.17511, 2.1401, 2.72673
2.37854, 2.04579, 0.350983
2.33487, 2.06258, 0.774119
2.38494, 2.07332, 8.97249
2.45087, 2.14352, 7.78547
2.38638, 2.1531, 2.58927
2.09741, 2.41498, 0.828271
2.47766, 2.2241, 7.80944
2.38183, 2.2122, 2.00354
2.16827, 2.40953, 4.35328
2.41558, 2.26423, 2.05334
2.30566, 2.29163, 0.702559
2.27835, 2.30425, 0.211275
2.16938, 2.4891, 4.66921
2.47696, 2.73201, 1.27247
2.36752, 2.66282, 0.673287
2.36207, 2.65063, 2.07853
2.31457, 2.4414, 0.583619
2.41437, 2.40454, 2.75587
2.38812, 2.5534, 9.69791
2.46546, 2.51437, 5.87866
2.4242, 2.47769, 9.88839
2.41689, 2.49624, 7.97738
2.41519, 2.48702, 0.225343
2.43564, 2.52418, 9.0445
2.42599, 2.51201, 1.99142
2.42475, 2.51296, 6.26008
@@@,@@@,@@@
-0.717891, 1.16893, 102.794
-0.336819, 1.09841, 1.97763
-0.936943, 1.46146, 0.440384
-1.0096, 1.32021, 0.876019
-0.437305, 1.04313, 0.112415
-0.493869, 1.28842, 1.88758
-0.505649, 1.05243, 1.99071
-0.624908, 1.40064, 0.999346
-0.756821, 1.39983, 1.52679
-0.503208, 1.17458, 2.4065
-0.577663, 1.31787, 0.237956
-0.931404, 1.20857, 1.27442
-0.590296, 1.26298, 4.30425
-0.570583, 1.1014, 4.88637
-0.836978, 1.08285, 4.42893
-0.844244, 1.13454, 4.61643
-0.826339, 1.21515, 8.36128
-0.80595, 1.23399, 3.9021
-0.828916, 1.11437, 4.63899
-0.818621, 1.16687, 5.03899
-0.694872, 1.09207, 4.97875
-0.742209, 1.10052, 4.3602
-0.736416, 1.09701, 6.51231
-0.736247, 1.23676, 0.456173
-0.73628, 1.22987, 0.413646
-0.74761, 1.19538, 8.33321
-0.699631, 1.16964, 8.21271
-0.636039, 1.23996, 0.70421
-0.647422, 1.16638, 3.16756
-0.630423, 1.18017, 12.0032
@@@,@@@,@@@
-1.53507, 4.84425, 105.4
-1.45288, 5.2133, 2.29172
-1.67212, 5.11935, 0.490987
-1.37007, 5.05664, 0.318901
-1.28176, 4.82975, 1.23487
-1.29846, 4.80156, 1.76133
-1.4416, 5.03182, 0.607951
-1.64325, 4.65319, 0.213557
-1.35232, 4.78967, 1.44948
-1.42312, 4.94244, 0.612294
-1.4863, 4.68056, 2.06981
-1.40928, 4.88972, 5.25391
-1.6532, 4.84105, 4.19163
-1.62889, 4.90095, 2.04256
-1.6402, 4.86578, 7.06597
-1.57493, 4.75941, 0.652515
-1.60863, 4.7972, 3.2749
-1.49455, 4.87903, 1.36799
-1.57276, 4.86778, 11.4783
-1.47892, 4.80377, 2.34252
