ETA,PHI,PT
-0.20463, 3.60913, 108.943
-0.362741, 3.97789, 0.38208
-0.0470934, 3.2691, 0.448913
-0.148926, 3.39793, 1.59417
-0.385291, 3.49672, 3.30459
-0.371946, 3.53406, 3.50613
-0.186025, 3.45121, 6.72669
-0.0740521, 3.59664, 5.47343
-0.309852, 3.66428, 3.25049
-0.299097, 3.5815, 1.72618
-0.18769, 3.5269, 5.69443
-0.271692, 3.6161, 3.30863
-0.257992, 3.68021, 0.0505549
-0.257679, 3.62224, 3.12334
-0.159985, 3.58899, 0.692354
-0.221311, 3.6198, 4.38983
-0.154666, 3.62363, 3.64274
-0.194696, 3.67424, 2.48519
-0.171553, 3.66623, 3.77367
-0.186319, 3.61951, 2.39275
-0.194426, 3.62912, 2.22646
-0.186227, 3.63247, 5.00441
-0.184515, 3.64876, 16.1003
-0.192069, 3.64549, 29.9194
@@@,@@@,@@@
-1.08385, 1.31735, 103.211
-1.56985, 1.01794, 0.0643303
-0.811273, 1.08102, 0.0280095
-1.33955, 1.09866, 0.360389
-2.05014, 1.17501, 0.0718451
-1.35529, 1.21715, 0.887886
-1.35695, 1.23959, 1.27502
-1.02897, 1.55575, 0.326096
-0.831598, 1.25942, 0.253235
-0.998127, 1.52359, 0.936628
-0.91676, 1.38621, 0.763772
-1.37653, 1.45653, 0.145635
-1.12565, 1.38326, 0.0111835
-1.131, 1.2799, 11.2205
-1.0662, 1.25648, 2.4549
-1.01803, 1.35334, 5.61039
-1.01226, 1.32113, 1.96938
-1.08804, 1.29005, 4.62778
-1.07653, 1.34002, 4.86538
-1.06767, 1.33319, 15.9091
-1.06976, 1.33499, 7.27271
-1.06135, 1.32015, 8.61442
-1.07027, 1.31088, 11.023
-1.08281, 1.31805, 24.5954
@@@,@@@,@@@
0.838578, 1.32871, 105.24
1.17512, 1.14585, 0.092191
1.05119, 1.12418, 4.96544
1.04065, 1.19155, 2.32455
1.03695, 1.19404, 1.07523
0.963252, 1.13301, 6.65199
1.05145, 1.28156, 3.8358
0.959879, 1.20833, 0.809618
1.01043, 1.30662, 4.52275
0.936709, 1.2206, 3.15224
0.7088, 1.57178, 0.111823
0.979997, 1.38617, 0.539269
0.649825, 1.26762, 1.89929
0.913713, 1.31058, 0.566561
0.705026, 1.26437, 1.31885
0.887145, 1.31861, 0.22122
0.760457, 1.33943, 17.2492
0.767868, 1.38947, 47.9704
0.816648, 1.3955, 8.34557
@@@,@@@,@@@
-0.0869827, 6.0726, 105.287
-0.317954, 5.78786, 1.37662
0.157429, 6.26661, 0.070165
-0.104408, 0.0865777, 0.378992
-0.162533, 0.0592264, 1.94744
-0.0039564, 6.26536, 0.456136
0.0339365, 5.89851, 0.296939
-0.231506, 6.0782, 1.11848
-0.093766, 5.94848, 0.684322
0.00757415, 6.0055, 2.16171
-0.142107, 6.15445, 2.2458
-0.086594, 5.9712, 0.417887
-0.119343, 6.15018, 3.91538
-0.0415291, 6.00079, 5.28048
-0.162854, 6.10084, 0.477028
-0.0166118, 6.05519, 3.64849
-0.0572464, 6.0171, 4.93994
-0.0835684, 6.12853, 2.66112
-0.139334, 6.08208, 2.58514
-0.113257, 6.04653, 6.06779
-0.109246, 6.04993, 0.567983
-0.0756279, 6.04098, 4.68012
-0.108177, 6.09208, 6.58078
-0.0545225, 6.08059, 1.25649
-0.0699937, 6.09472, 14.1605
-0.0885751, 6.05309, 5.80199
-0.0829055, 6.07249, 31.7342
@@@,@@@,@@@
0.285259, 0.352225, 105.926
0.441956, 0.640386, 1.8236
-0.0214554, 0.420577, 2.88998
0.0624575, 0.174558, 0.833569
0.0392165, 0.238184, 0.277027
0.238717, 0.584304, 0.250271
0.404597, 0.548533, 0.37845
0.13193, 0.450566, 5.45346
0.320756, 0.145378, 0.263016
0.4006, 0.471295, 1.36846
0.203476, 0.222863, 2.57532
0.440116, 0.336564, 3.14839
0.346796, 0.476918, 0.280139
0.423325, 0.324642, 0.870248
0.24934, 0.44227, 2.07408
0.191363, 0.359247, 0.805371
0.382264, 0.284509, 0.873509
0.213896, 0.331416, 6.04635
0.31381, 0.260564, 0.34494
0.376671, 0.33998, 5.0488
0.234744, 0.3778, 1.71253
0.278709, 0.273083, 2.79076
0.2749, 0.297363, 3.64174
0.344144, 0.311927, 2.37477
0.296518, 0.388874, 3.15519
0.271173, 0.322609, 4.29599
0.270023, 0.343817, 9.40154
0.286474, 0.359934, 2.73499
0.291508, 0.326818, 5.93726
0.316335, 0.322785, 2.57909
0.32076, 0.35669, 6.04276
0.321422, 0.342011, 2.97602
0.314794, 0.348585, 22.8937
@@@,@@@,@@@
-0.188238, 3.06073, 108.682
-1.1505, 2.71084, 0.0778395
-0.0995987, 2.95039, 2.08147
-0.0529391, 3.01835, 1.28845
-0.292782, 3.13393, 0.918094
-0.305448, 3.02859, 0.370755
-0.269927, 3.05436, 0.852778
-0.165791, 3.0268, 1.83965
-0.149126, 3.06093, 9.16623
-0.173517, 3.05183, 3.17028
-0.200483, 3.0586, 7.43432
-0.200691, 3.04127, 21.1451
-0.203955, 3.04923, 13.9989
-0.193131, 3.10174, 7.55503
-0.165871, 3.0719, 4.96028
-0.186176, 3.07764, 30.1534
-0.201403, 3.07776, 3.70785
@@@,@@@,@@@
-0.13556, 0.448372, 100.302
-0.482659, 0.567339, 1.22668
0.136324, 0.318022, 0.0456909
-0.173244, 0.725989, 2.00932
0.0933379, 0.440614, 0.21894
-0.245774, 0.454073, 2.71481
-0.133198, 0.427614, 18.291
-0.12368, 0.434879, 31.7095
-0.138362, 0.442198, 3.10842
-0.128987, 0.4543, 14.7016
-0.125489, 0.449717, 26.3695
@@@,@@@,@@@
-1.20331, 3.77857, 109.874
-0.860935, 3.56231, 0.551897
-1.89455, 3.47204, 0.109577
-1.41952, 3.47654, 1.65818
-0.939793, 3.5797, 0.125911
-1.28454, 4.07129, 4.11586
-1.13063, 4.07286, 1.86942
-1.37914, 3.52331, 2.13529
-1.43434, 3.63999, 2.44534
-1.26692, 3.51522, 1.51723
-1.22077, 3.50763, 0.825245
-1.29753, 3.57039, 0.621618
-1.24248, 3.56163, 0.591832
-1.05927, 3.65714, 0.453987
-1.08976, 3.90592, 4.71803
-1.19678, 3.64529, 1.3529
-1.26438, 3.67289, 0.412792
-1.18928, 3.88189, 6.18205
-1.1847, 3.86634, 3.04377
-1.20393, 3.82097, 14.3017
-1.20468, 3.82789, 3.94101
-1.23962, 3.73778, 0.495228
-1.145, 3.81039, 1.13488
-1.13115, 3.75203, 1.16977
-1.20933, 3.75772, 5.29878
-1.17943, 3.74616, 23.88
-1.1669, 3.76194, 25.1934
-1.1732, 3.77053, 2.41853
@@@,@@@,@@@
1.38218, 4.37814, 101.438
1.84703, 4.40889, 0.304548
1.72048, 4.46739, 2.44249
1.28778, 4.67619, 1.28055
1.06705, 4.44365, 1.97061
1.61148, 4.48858, 0.472124
1.32643, 4.63117, 2.55889
1.24735, 4.144, 1.11081
1.19063, 4.3283, 4.23249
1.57018, 4.43467, 2.01512
1.58342, 4.39298, 0.695488
1.21744, 4.34602, 1.4764
1.30404, 4.36555, 0.93654
1.31089, 4.33386, 0.617197
1.31128, 4.39245, 7.02545
1.32788, 4.41076, 5.93869
1.33539, 4.31628, 3.59743
1.40951, 4.29499, 2.11321
1.44713, 4.42054, 2.92797
1.35255, 4.38371, 13.0371
1.40832, 4.31194, 2.95773
1.36243, 4.35445, 0.891335
1.40771, 4.35053, 33.6187
1.39815, 4.38423, 9.45272
@@@,@@@,@@@
1.73843, 5.78471, 100.616
2.1023, 5.63078, 0.144301
1.95564, 6.09192, 0.481443
1.41056, 5.76643, 0.478844
1.85683, 5.53745, 0.991543
1.63621, 5.55334, 0.753699
1.68113, 5.92485, 1.11863
1.64115, 5.88154, 0.879922
1.62355, 5.713, 2.46162
1.65081, 5.88349, 1.34677
1.65547, 5.77198, 1.08716
1.76623, 5.73614, 0.0556859
1.73186, 5.73584, 4.74671
1.76477, 5.82923, 1.71879
1.75651, 5.82436, 6.82052
1.77489, 5.76595, 4.84049
1.74134, 5.74831, 1.03584
1.7607, 5.78632, 6.10444
1.76131, 5.78691, 1.8734
1.72506, 5.79985, 4.34387
1.738, 5.79023, 38.5764
1.73732, 5.77706, 20.8746
@@@,@@@,@@@
-1.13785, 4.17224, 101.421
-1.09152, 4.5379, 0.143561
-1.36114, 4.15616, 0.204574
-1.3532, 4.22424, 3.63165
-0.940643, 4.0753, 0.219824
-1.05586, 4.32247, 8.94113
-0.964042, 4.18511, 1.02942
-0.996127, 4.06257, 0.449907
-1.09269, 4.01056, 1.71801
-1.11847, 4.03808, 0.229616
-1.05737, 4.21377, 1.85542
-1.05455, 4.18827, 1.31922
-1.13303, 4.22972, 0.868132
-1.08122, 4.12566, 2.98249
-1.07555, 4.15799, 4.4045
-1.10223, 4.174, 4.27452
-1.11084, 4.13906, 5.2776
-1.13069, 4.13339, 2.09285
-1.12654, 4.16097, 1.61014
-1.15073, 4.15507, 35.2768
-1.16082, 4.16092, 25.0531
@@@,@@@,@@@
-0.0144407, 5.02944, 101.421
-0.176757, 5.09244, 6.28268
