ETA,PHI,PT
0.266183, 1.8073, 103.695
0.54144, 1.56676, 0.141383
0.0760441, 2.07934, 0.248741
0.428831, 1.51684, 0.337229
0.547246, 1.93733, 0.604263
0.524346, 1.89008, 2.77949
0.272074, 1.53709, 0.130488
0.145688, 1.56074, 0.703647
0.404568, 1.61928, 0.998479
0.237103, 2.01459, 0.718081
0.0737004, 1.77944, 0.71539
0.264454, 1.63772, 0.294065
0.265437, 1.64413, 1.43261
0.352265, 1.88584, 0.898406
0.321035, 1.73842, 1.71082
0.242938, 1.90532, 0.572493
0.302584, 1.74848, 5.84373
0.3092, 1.75199, 1.45548
0.321321, 1.8502, 2.7126
0.298059, 1.87108, 6.87298
0.203642, 1.88121, 0.934383
0.255231, 1.87666, 5.56116
0.208992, 1.74313, 1.23587
0.231145, 1.77829, 0.72494
0.255004, 1.77176, 13.2646
0.256852, 1.78868, 9.70535
0.260874, 1.78777, 7.11348
0.269675, 1.84774, 3.13557
0.23824, 1.85139, 4.66136
0.249167, 1.82854, 5.56911
0.220568, 1.81389, 22.8206
@@@,@@@,@@@
-2.33494, 4.15446, 101.203
-2.44303, 3.83732, 2.01791
-2.28231, 4.46598, 0.0646542
-2.48692, 4.03804, 1.87489
-2.22417, 4.03222, 2.04867
-2.27496, 4.14176, 5.74759
-2.34802, 4.15965, 20.3552
-2.33761, 4.15962, 1.95784
-2.32905, 4.16984, 67.2767
@@@,@@@,@@@
0.897801, 0.90153, 105.162
0.643725, 1.1768, 0.694536
0.662605, 0.873977, 0.29922
0.833385, 0.756295, 1.33372
0.994269, 0.990811, 7.03843
0.993663, 0.98183, 1.90434
0.872477, 0.776253, 2.65245
0.958267, 0.922426, 13.6079
0.963599, 0.912204, 5.29057
0.846586, 0.950941, 9.62767
0.891906, 0.930328, 7.46632
0.900564, 0.913457, 5.93618
0.884608, 0.907378, 10.5263
0.831629, 0.850103, 1.55289
0.868532, 0.859886, 36.1108
0.880802, 0.888255, 1.26842
@@@,@@@,@@@
0.312582, 1.90508, 104.133
0.106049, 1.57242, 0.0229044
0.69514, 1.83489, 0.798601
0.550444, 2.18057, 0.31082
0.540871, 1.8223, 0.273544
0.284607, 2.13828, 0.452014
0.48976, 2.01842, 1.62629
0.501381, 1.83337, 1.64691
0.168699, 2.05376, 0.410666
0.306753, 1.73163, 1.37501
0.407202, 2.0133, 2.92666
0.273905, 2.0308, 0.343923
0.410955, 1.93103, 1.41025
0.37644, 1.96487, 3.96429
0.292733, 1.82758, 3.28479
0.287278, 1.89847, 26.2761
0.298745, 1.90155, 8.19715
0.295539, 1.90178, 50.9192
@@@,@@@,@@@
2.08052, 1.75804, 108.335
2.39138, 1.62567, 1.03664
1.82935, 1.70864, 1.05434
1.94259, 1.61692, 0.438906
1.92908, 1.64293, 0.9695
2.12901, 1.60306, 0.251734
2.17104, 1.88398, 0.902832
2.02294, 1.85979, 2.20332
2.01746, 1.69087, 3.56441
2.12499, 1.8115, 5.65955
2.1349, 1.78366, 10.299
2.06439, 1.71666, 3.73642
2.05441, 1.71831, 7.50366
2.05384, 1.7271, 8.49239
2.08028, 1.78434, 12.1697
2.05904, 1.76139, 12.114
2.05835, 1.77364, 13.0822
2.05656, 1.7772, 5.87214
2.1096, 1.74808, 16.439
2.10349, 1.73471, 2.62875
@@@,@@@,@@@
0.482112, 4.82562, 103.872
0.338635, 5.16445, 2.15287
0.668596, 4.53691, 1.0305
0.210337, 4.69924, 2.9751
0.375378, 5.06629, 0.804566
0.284178, 4.97062, 0.298492
0.445922, 4.57513, 0.211072
0.703291, 4.92845, 1.2384
0.617289, 4.97937, 0.97933
0.530567, 4.72505, 0.342501
0.418656, 4.77782, 5.24103
0.541584, 4.82307, 2.82927
0.544141, 4.81387, 0.604349
0.459438, 4.83576, 5.04679
0.473453, 4.84882, 9.83633
0.49728, 4.82855, 25.2963
0.489168, 4.81484, 24.2438
