ETA,PHI,PT
-1.34109, 2.69779, 100.742
-1.09582, 2.49965, 1.89995
-1.05783, 2.78951, 0.142105
-1.12121, 2.88755, 0.437762
-1.19182, 2.82627, 4.76105
-1.19634, 2.62556, 4.87181
-1.23664, 2.67714, 2.72531
-1.29325, 2.76034, 9.03775
-1.61376, 2.77621, 0.182367
-1.29888, 2.64681, 0.524706
-1.31805, 2.63158, 1.81383
-1.41977, 2.69191, 7.58529
-1.40473, 2.70971, 8.73334
-1.40528, 2.70336, 4.34897
-1.38956, 2.66139, 8.95947
-1.35173, 2.69616, 40.9574
-1.36821, 2.68569, 3.889
@@@,@@@,@@@
2.02143, 4.74909, 101.867
2.4028, 4.80818, 0.061058
1.6876, 4.91697, 2.14883
1.68404, 4.82335, 1.72768
2.35382, 4.83677, 1.66235
1.68869, 4.80732, 0.0511052
1.72323, 4.80834, 4.27597
2.22989, 4.96488, 0.742697
2.07837, 4.44963, 0.418241
2.33509, 4.82194, 0.502827
1.79544, 4.847, 0.634907
1.88318, 4.94188, 4.74336
1.88901, 4.87794, 3.21578
1.89856, 4.85845, 1.73331
1.87987, 4.78661, 0.159551
1.8984, 4.80475, 0.0993732
2.17996, 4.66225, 0.337684
2.11038, 4.64166, 1.7962
2.0664, 4.65201, 9.66721
1.99125, 4.72039, 11.2425
2.08696, 4.76611, 4.48677
2.03634, 4.74648, 10.3668
2.05592, 4.72254, 42.084
@@@,@@@,@@@
0.662849, 4.18522, 109.199
1.03467, 4.14467, 1.93549
0.681509, 3.85733, 0.713777
0.911653, 4.34218, 0.549341
0.662767, 3.94752, 1.96644
0.560252, 4.39905, 0.673955
0.822985, 4.09048, 1.54982
0.738633, 4.36572, 0.442174
0.577492, 4.03494, 1.92966
0.822977, 4.18503, 0.0782151
0.781139, 4.22441, 1.89504
0.775388, 4.23764, 2.5105
0.547362, 4.14605, 0.983004
0.670095, 4.09142, 0.5019
0.584031, 4.25171, 3.46036
0.618572, 4.11636, 0.674424
0.728159, 4.16427, 0.328559
0.680649, 4.13943, 1.03916
0.633152, 4.13491, 1.98221
0.69495, 4.19856, 10.4254
0.650159, 4.24199, 5.03194
0.65249, 4.2292, 6.27933
0.61407, 4.20899, 7.75413
0.648552, 4.21726, 7.3853
0.659748, 4.20613, 0.575028
0.615431, 4.1909, 1.12429
0.662367, 4.17493, 3.74472
0.64023, 4.17118, 31.6649
0.643128, 4.19275, 12.1986
@@@,@@@,@@@
-1.21743, 4.6099, 106.465
-0.921054, 4.43595, 1.80571
-1.01366, 4.82397, 0.358183
-1.44154, 4.62829, 1.57158
-1.26479, 4.41064, 2.21841
-1.3826, 4.59769, 0.513669
-1.18677, 4.50975, 0.267544
-1.36806, 4.62817, 0.153412
-1.36564, 4.62311, 0.580603
-1.31818, 4.5731, 5.0472
-1.31976, 4.62334, 4.47175
-1.21395, 4.68769, 4.11656
-1.26102, 4.57024, 1.29834
-1.24689, 4.65197, 0.871705
-1.19972, 4.56961, 1.03322
-1.2093, 4.58761, 1.30364
-1.22187, 4.58539, 17.5612
-1.16969, 4.60319, 15.6871
-1.21857, 4.61393, 17.9484
-1.19631, 4.65879, 4.34685
-1.193, 4.63572, 6.59708
-1.19498, 4.64393, 18.8377
@@@,@@@,@@@
-1.05452, 5.94354, 100.83
-0.745711, 6.20447, 0.244435
-0.76707, 5.69316, 2.89681
-0.708444, 5.85488, 8.10653
-0.75281, 5.75981, 1.55984
-0.755864, 5.85355, 2.1513
-1.39927, 6.00528, 5.84652
-0.807761, 5.78542, 1.15471
-1.12456, 5.65398, 1.93401
-1.33371, 5.80313, 2.43489
-1.2226, 5.7056, 0.766952
-0.81901, 5.79504, 1.64331
-0.868753, 5.76347, 0.838322
-0.89715, 5.7417, 0.325863
-0.797859, 6.08156, 0.964632
-0.951778, 5.79835, 1.86414
-1.25548, 5.86326, 0.117132
-1.01799, 5.82077, 0.0710893
-1.16996, 6.13806, 1.88868
-1.20195, 6.03413, 7.3547
-1.02095, 6.06205, 0.772488
-1.12616, 5.94602, 1.76504
-1.11242, 6.00903, 2.48279
-1.0554, 5.94365, 9.01829
-1.08103, 5.97267, 10.9416
-1.05458, 6.00338, 19.6475
-1.0394, 5.98314, 14.5512
@@@,@@@,@@@
0.669982, 2.97177, 100.245
0.849731, 3.27903, 0.210694
0.602315, 3.31668, 0.0746128
0.894346, 2.95387, 3.28276
0.716336, 3.13322, 6.64781
0.622009, 3.11164, 0.565388
0.750294, 3.01894, 0.851555
0.700463, 3.00419, 5.23921
