ETA,PHI,PT
1.06223, 1.19433, 102.791
0.964348, 1.50687, 0.855932
1.19131, 1.04749, 2.07143
1.07197, 1.35835, 0.957555
1.11991, 1.34658, 2.86155
1.12942, 1.05818, 2.22902
0.974762, 1.09756, 7.44717
1.07774, 1.32981, 2.12317
1.08431, 1.1521, 3.81251
1.04367, 1.20469, 30.2147
1.07627, 1.19518, 20.7011
1.06538, 1.19484, 29.7066
@@@,@@@,@@@
1.74878, 1.57722, 105.065
2.32128, 1.76562, 0.633594
1.45293, 1.77068, 0.14944
2.03938, 1.52866, 0.0687609
1.80495, 1.75653, 0.516274
1.69741, 1.45922, 0.258771
1.78108, 1.67055, 4.24041
1.75023, 1.67735, 4.06332
1.85282, 1.52749, 0.539436
1.71338, 1.48764, 5.21887
1.73473, 1.56673, 44.5784
1.74681, 1.57833, 19.4197
1.75159, 1.57458, 25.465
@@@,@@@,@@@
1.64387, 4.11682, 107.543
1.6465, 3.73199, 1.28468
1.75393, 4.47848, 0.256601
1.34194, 3.90091, 0.0224918
1.57725, 3.78164, 0.0979979
1.48058, 4.37271, 0.720118
1.79066, 4.36879, 0.411682
1.50159, 4.28033, 0.0920368
1.78412, 4.28399, 0.882711
1.43777, 4.09766, 0.0697553
1.61763, 4.23933, 6.44744
1.67404, 4.23173, 6.19915
1.72475, 4.07233, 5.05217
1.64596, 4.04542, 1.60542
1.67171, 4.06206, 1.37806
1.60828, 4.10515, 3.91197
1.61694, 4.11948, 9.78169
1.61269, 4.12216, 15.0874
1.65256, 4.07597, 5.0851
1.64471, 4.08365, 11.0618
1.63729, 4.10601, 14.0356
1.64504, 4.09487, 14.2159
1.64852, 4.10458, 10.1256
@@@,@@@,@@@
0.0579998, 4.70162, 104.053
-0.200983, 4.48379, 0.243636
-0.0923678, 4.42247, 0.434769
-0.233431, 4.60926, 0.86486
-0.0671944, 4.76609, 0.169955
-0.0650774, 4.75187, 0.295661
-0.0208172, 4.75693, 0.128854
0.144946, 4.72744, 1.80509
0.0636415, 4.73682, 7.56945
0.0810441, 4.71963, 17.5395
0.0886984, 4.71497, 0.587077
0.0387403, 4.72298, 6.99841
0.0607645, 4.72511, 0.543145
0.0549098, 4.72291, 8.92616
0.0759708, 4.69582, 1.75252
0.0614946, 4.70389, 11.9041
0.0625901, 4.67537, 13.7966
0.063441, 4.68598, 7.9187
0.0494063, 4.68831, 22.6216
@@@,@@@,@@@
1.41521, 4.46205, 105.55
1.45715, 4.85367, 0.877135
1.12654, 4.18452, 0.290515
1.60979, 4.72796, 0.314657
1.2803, 4.16975, 0.380811
1.74231, 4.53891, 2.92815
1.63283, 4.70257, 0.421006
1.42081, 4.75659, 3.68279
1.33582, 4.70816, 3.82641
1.53278, 4.66436, 1.73554
1.25223, 4.65168, 1.29141
1.28722, 4.18619, 0.445767
1.48294, 4.66502, 0.442654
1.45998, 4.18523, 0.0970361
1.82821, 4.66886, 0.436585
1.44903, 4.62244, 1.57565
1.5499, 4.549, 0.742517
1.29214, 4.25008, 0.26447
1.54116, 4.24462, 1.28268
1.21596, 4.36716, 0.882755
1.24133, 4.35187, 0.263962
1.24419, 4.37842, 0.886226
1.50504, 4.33305, 3.47547
1.47433, 4.3596, 12.9557
1.44279, 4.33503, 2.97451
1.28667, 4.54771, 1.06941
1.39199, 4.35353, 1.0216
1.42183, 4.36634, 0.601182
1.31352, 4.38829, 4.19148
1.41263, 4.52166, 0.666131
1.30826, 4.42052, 2.51118
1.40052, 4.50331, 1.87232
1.3977, 4.42878, 3.13313
1.3857, 4.46921, 7.03934
1.38864, 4.46894, 8.1555
1.37143, 4.46106, 9.74027
1.38555, 4.44734, 1.03402
1.36243, 4.43655, 12.3266
1.36265, 4.45095, 10.4347
@@@,@@@,@@@
2.20576, 1.83034, 104.269
2.37461, 1.8957, 0.827747
2.06727, 1.64581, 0.954035
2.15503, 1.69449, 5.7223
2.12349, 1.71165, 2.54801
2.08542, 1.79209, 11.102
2.21893, 1.71279, 3.33086
2.24615, 1.75536, 2.14249
2.15253, 1.7973, 3.0336
2.17892, 1.84451, 10.8349
2.1778, 1.87405, 1.92387
2.24774, 1.86732, 27.4926
2.22707, 1.85989, 34.5208
@@@,@@@,@@@
-0.526124, 3.40313, 105.384
-0.739343, 3.0238, 0.202615
-0.959873, 3.57357, 0.245593
-0.649381, 3.05369, 0.0502391
-0.18437, 3.53171, 0.0810298
-0.243207, 3.63208, 0.10773
-1.01694, 3.53549, 0.185544
-0.611459, 3.0869, 1.98528
-0.471117, 3.10061, 0.0857631
-0.257128, 3.41392, 0.261454
-0.595162, 3.54079, 5.97665
-0.648685, 3.34006, 2.37771
-0.515983, 3.5478, 0.097879
-0.581491, 3.52708, 0.243688
-0.430703, 3.4645, 1.60209
-0.575426, 3.50028, 2.17771
-0.543546, 3.31649, 0.212346
-0.818763, 3.44546, 0.0937591
-0.533524, 3.42855, 0.841253
-0.539388, 3.36754, 2.08872
-0.505316, 3.41735, 18.6168
-0.503508, 3.3984, 9.36276
-0.498726, 3.39027, 21.8976
-0.526194, 3.40064, 25.4701
-0.526204, 3.38545, 11.3341
@@@,@@@,@@@
-1.50479, 2.00103, 103.192
-1.24443, 1.77673, 0.311873
-1.12269, 1.91937, 2.75536
-1.27021, 1.71638, 2.27323
-1.40355, 2.10167, 0.152732
-1.15552, 2.07055, 1.14622
-1.86357, 1.71977, 0.23101
-1.23157, 2.16192, 0.257142
-1.83571, 2.02154, 0.171542
-1.39293, 1.75602, 0.0495352
-1.59349, 1.74839, 0.610777
-1.48236, 2.24504, 1.56035
-1.48163, 2.24074, 0.751986
-1.31047, 2.03862, 1.33885
-1.37071, 2.14333, 0.511779
-1.4388, 1.89626, 0.651257
-1.45439, 1.98383, 1.38802
-1.47214, 1.97496, 2.23776
-1.52096, 2.06813, 1.91049
-1.49403, 2.04496, 7.13952
-1.5077, 1.98873, 16.3234
-1.5103, 1.99945, 5.17339
-1.53241, 2.0254, 14.8391
-1.54176, 1.9982, 38.9278
-1.52806, 2.00461, 2.71983
@@@,@@@,@@@
-1.42116, 5.3348, 107.717
-1.08404, 5.38391, 0.291702
-1.6195, 5.07854, 0.161737
-1.97916, 5.41569, 0.160169
-1.69059, 5.49478, 0.388314
-1.26893, 5.17633, 0.373058
-1.27918, 5.2229, 3.04577
-1.23731, 5.38943, 0.727953
-1.27127, 5.22407, 0.074932
-1.45301, 5.24035, 1.69885
-1.48232, 5.27973, 12.7333
-1.4518, 5.26206, 0.458642
-1.44113, 5.37955, 5.04775
-1.44266, 5.32316, 1.54054
-1.39038, 5.35379, 16.2209
-1.39621, 5.36103, 1.52839
-1.40987, 5.34535, 19.6286
-1.42108, 5.34027, 20.7211
-1.42498, 5.34949, 22.992
@@@,@@@,@@@
0.612743, 6.07975, 106.126
0.871122, 5.80036, 2.38329
1.17429, 0.155448, 0.409596
0.352503, 5.87283, 0.658216
0.302791, 6.15883, 0.56847
0.371792, 5.93211, 1.29132
0.696571, 5.85607, 0.227183
0.431441, 5.94956, 2.37874
0.605579, 5.88128, 7.27095
0.785176, 6.1104, 2.17295
0.6252, 5.95148, 9.92652
0.739029, 6.054, 1.57911
0.74812, 6.12037, 2.70337
0.709609, 6.20507, 2.68581
0.724952, 6.15689, 3.60334
0.701954, 6.05651, 6.84343
0.597437, 6.00106, 3.32113
0.677737, 6.16029, 4.01453
0.572581, 6.2367, 3.84376
0.566565, 6.0504, 2.33738
0.585047, 6.06116, 4.5984
0.562915, 6.07568, 5.65532
0.576877, 6.0909, 4.46378
0.516736, 6.13741, 10.582
0.600476, 6.15442, 0.756224
0.582567, 6.13871, 1.75842
0.543045, 6.15755, 5.40455
0.572466, 6.18057, 15.3136
@@@,@@@,@@@
2.43973, 5.75841, 100.05
2.45319, 5.48041, 3.83479
2.3589, 5.52402, 0.695715
2.36532, 5.50325, 10.9339
2.23035, 5.94798, 0.659165
2.34904, 5.60204, 0.193659
2.46323, 5.59695, 0.881086
2.32132, 5.9463, 1.22231
2.45863, 5.63396, 0.202049
2.37341, 5.78911, 3.41936
2.37788, 5.79291, 7.92181
2.49059, 5.83718, 6.89823
2.43091, 5.83455, 1.1137
2.4398, 5.8427, 11.0445
2.45098, 5.83845, 11.5194
2.43541, 5.80531, 5.32524
2.43344, 5.81053, 1.86527
2.43816, 5.75437, 4.89462
2.43843, 5.77033, 4.75162
2.48243, 5.77931, 2.43607
2.46401, 5.78359, 20.9291
@@@,@@@,@@@
1.44168, 1.45828, 108.635
1.27962, 1.71353, 0.194392
1.19381, 1.60392, 0.732911
1.44566, 1.73442, 0.629646
1.24158, 1.26076, 0.449457
1.16923, 1.44726, 0.990512
1.29707, 1.63924, 0.735464
1.31499, 1.60998, 3.66855
1.24999, 1.46198, 3.05406
1.28116, 1.51064, 3.28355
1.27646, 1.47214, 2.62937
1.40047, 1.26463, 1.60116
1.40392, 1.61021, 1.81441
1.57192, 1.60267, 0.621633
1.51794, 1.31801, 1.89371
1.40986, 1.38637, 4.62896
1.55793, 1.40838, 5.36913
1.43032, 1.38996, 1.32083
1.43348, 1.50615, 7.22974
1.89824, 1.45884, 0.358714
1.51666, 1.51632, 2.29166
1.44644, 1.41074, 3.04249
1.48991, 1.49458, 1.78458
1.46216, 1.4133, 8.08543
1.45512, 1.46018, 12.2179
1.49952, 1.42117, 1.54508
1.4828, 1.44175, 7.24222
1.49843, 1.44467, 22.7378
1.50629, 1.45208, 4.92111
1.09884, 1.51598, 3.36749
1.08435, 1.52477, 0.432234
@@@,@@@,@@@
-0.428247, 1.17841, 100.384
-0.870718, 1.47971, 0.437091
-0.678129, 1.43019, 0.897249
-0.640699, 0.907399, 0.413567
-0.320445, 0.972213, 0.703644
-0.641744, 1.32194, 0.242379
-0.695711, 1.28894, 0.384613
-0.60713, 1.35103, 2.11727
-0.364479, 1.41833, 1.76688
-0.496105, 1.3926, 1.02686
-0.423292, 1.39468, 2.20729
-0.290872, 1.35028, 0.422597
-0.295935, 1.32142, 0.732045
-0.431353, 1.34109, 5.71701
-0.467413, 1.32812, 8.19918
-0.472278, 1.31373, 1.36619
-0.613313, 1.09539, 0.775408
-0.571643, 1.22446, 1.65916
-0.912204, 1.29625, 0.195001
-0.304324, 1.26756, 0.297513
-0.434306, 1.2884, 2.76512
-0.390854, 1.26872, 5.97375
-0.36348, 1.25918, 0.918136
-0.250493, 1.05678, 0.773663
-0.27785, 1.1575, 2.16347
-0.519272, 1.15971, 1.72515
-0.493126, 1.18446, 2.4325
-0.342863, 1.1973, 1.17601
-0.439276, 0.992236, 0.608253
-0.344346, 1.15878, 0.759379
